schlcode,classid,c_size,classize,avgverb,avgmath,instrument,avg4_verb,avg4_math
11005,1,54,28,70.57,74.11,27.0,65.7699966430664,64.94000244140625
11005,2,54,26,75.0,71.11,27.0,65.7699966430664,64.94000244140625
11006,1,37,22,75.47,64.0,37.0,61.40653135338608,56.852707862854004
11006,2,37,15,60.6475,50.0,37.0,61.40653135338608,56.852707862854004
11009,1,32,32,73.97,68.38,32.0,78.37000274658203,76.69999694824219
11010,1,68,34,69.55,59.86,34.0,74.48500061035156,64.09791819254558
11010,2,68,34,68.13,61.9,34.0,74.48500061035156,64.09791819254558
11013,1,86,30,65.57,61.1,28.666666666666668,64.00000112564837,64.99999837406347
11013,2,86,26,69.92,59.42,28.666666666666668,64.00000112564837,64.99999837406347
11013,3,86,31,73.14,66.37,28.666666666666668,64.00000112564837,64.99999837406347
11015,1,95,32,79.66,76.57,31.666666666666668,83.99999937169692,79.99999802533318
11015,2,95,32,75.94,71.29,31.666666666666668,83.99999937169692,79.99999802533318
11015,3,95,31,84.89,81.04,31.666666666666668,83.99999937169692,79.99999802533318
11017,2,77,39,70.37,65.78,38.5,64.12111013906973,66.33024415737245
11017,1,77,38,71.71129,68.50467,38.5,64.12111013906973,66.33024415737245
11020,1,97,31,78.31,71.3,32.333333333333336,74.8582594498344,76.01535044925313
11020,2,97,33,78.1,77.26,32.333333333333336,74.8582594498344,76.01535044925313
11020,3,97,33,77.21,73.3,32.333333333333336,74.8582594498344,76.01535044925313
11021,1,58,30,72.64,57.86,29.0,74.9999982393705,71.0000017606295
11021,2,58,28,67.71,56.54,29.0,74.9999982393705,71.0000017606295
11027,2,97,34,81.03,71.09,32.333333333333336,76.61322726998277,71.14010562691637
11027,3,97,29,73.38,65.21,32.333333333333336,76.61322726998277,71.14010562691637
11027,1,97,34,73.25871,64.48303,32.333333333333336,76.61322726998277,71.14010562691637
11029,1,70,34,65.19,56.23,35.0,64.753659643778,59.69670742314036
11029,2,70,36,74.38559,57.70206,35.0,64.753659643778,59.69670742314036
11031,1,42,23,74.57,67.09,21.0,76.75000179515166,71.76366209648025
11031,2,42,19,69.06,64.41,21.0,76.75000179515166,71.76366209648025
11032,1,95,32,61.07,49.52,31.666666666666668,61.99999989548775,60.99999895095825
11032,2,95,31,68.97,59.5,31.666666666666668,61.99999989548775,60.99999895095825
11032,3,95,29,62.62,60.29,31.666666666666668,61.99999989548775,60.99999895095825
11034,2,56,28,70.59,64.75,28.0,66.02887419579734,62.205479452054796
11034,1,56,28,71.41,67.296295,28.0,66.02887419579734,62.205479452054796
11044,1,11,17,69.25,55.58,11.0,62.13999938964844,51.86000061035156
11045,1,76,38,74.85,68.58,38.0,73.66826741536458,69.10693166097005
11045,2,76,38,75.14167,67.46833,38.0,73.66826741536458,69.10693166097005
11048,1,74,38,82.03,67.76,37.0,81.02200126647949,80.64700088500976
11048,2,74,36,75.65,75.35,37.0,81.02200126647949,80.64700088500976
11054,1,35,35,68.0,63.0,35.0,66.63948822021484,63.19463497254907
11058,1,82,25,72.67,62.57,27.333333333333332,72.58000183105469,63.970001220703125
11058,2,82,29,72.32,62.58,27.333333333333332,72.58000183105469,63.970001220703125
11058,3,82,26,76.32,53.78,27.333333333333332,72.58000183105469,63.970001220703125
11061,1,46,16,61.64,44.27,23.0,65.99999930641867,55.0000005086263
11061,2,46,30,73.75,57.08,23.0,65.99999930641867,55.0000005086263
11064,1,40,40,52.77,48.73,40.0,52.20000076293945,45.099998474121094
11065,1,20,20,73.67,67.5,20.0,65.86000061035156,60.31999969482422
11067,1,62,22,61.0,47.71,31.0,52.99999910242417,55.00000067318187
11067,2,62,29,66.42,51.54,31.0,52.99999910242417,55.00000067318187
11072,1,41,21,71.84,68.89,20.5,69.91377817789713,66.28977745903863
11072,2,41,20,72.152,61.3045,20.5,69.91377817789713,66.28977745903863
11073,1,60,30,84.93,72.36,30.0,82.3762163729281,75.95250015258789
11073,2,60,30,72.8,65.48,30.0,82.3762163729281,75.95250015258789
11106,2,58,29,80.1,77.6,29.0,77.6150016784668,67.61222231829608
11106,1,58,29,86.411766,78.47059,29.0,77.6150016784668,67.61222231829608
11108,1,12,12,57.09,48.75,12.0,52.36000061035156,50.18000030517578
11109,1,119,24,72.09,64.13,39.666666666666664,79.00000238418579,73.99999945013373
11109,2,119,26,82.52,70.52,39.666666666666664,79.00000238418579,73.99999945013373
11109,3,119,32,81.25,67.09,39.666666666666664,79.00000238418579,73.99999945013373
11109,4,119,26,70.92,63.31,39.666666666666664,79.00000238418579,73.99999945013373
11111,1,106,33,74.79,63.86,35.333333333333336,66.99999976403934,65.99999893817704
11111,2,106,30,72.73,56.22,35.333333333333336,66.99999976403934,65.99999893817704
11111,3,106,31,76.9,62.33,35.333333333333336,66.99999976403934,65.99999893817704
11115,1,57,30,76.53,58.44,28.5,68.77799835205079,58.66666603088379
11115,2,57,27,73.0875,61.9968,28.5,68.77799835205079,58.66666603088379
11117,1,66,28,67.46,62.59,33.0,65.03079453725664,57.4523429274559
11117,2,66,27,62.66,57.63,33.0,65.03079453725664,57.4523429274559
11119,1,83,29,75.68,48.07,27.666666666666668,72.00000158532873,64.00000009908305
11119,2,83,24,69.43,55.81,27.666666666666668,72.00000158532873,64.00000009908305
11119,3,83,30,81.96,62.79,27.666666666666668,72.00000158532873,64.00000009908305
11120,2,106,35,71.76,54.39,35.333333333333336,65.65060020446778,57.18096116872934
11120,3,106,35,69.16,55.45,35.333333333333336,65.65060020446778,57.18096116872934
11120,1,106,36,75.31724,58.299355,35.333333333333336,65.65060020446778,57.18096116872934
11126,1,47,22,66.48,53.91,23.5,67.04499816894531,58.135000228881836
11126,2,47,25,66.43,54.96,23.5,67.04499816894531,58.135000228881836
11127,1,29,29,78.03,62.78,29.0,71.0,61.0
11128,1,79,22,79.09,81.43,39.5,75.22000122070312,77.76000213623047
